Cluster,Energy
1,221754392.3
2,29193524.2
3,246735798.23
4,268175330.59
5,92657856.45
6,1142805123.0
7,221166756.12
8,175318650.94
9,72277602.54
10,101572752.9
11,148909092.67
12,16354249.51
13,281865537.09
14,242819381.5
15,137378039.51
16,162921790.8
17,392554697.46
18,272420376.97
19,73754841.02
20,275205207.62
21,129508083.62
22,128639937.09
23,134645101.02
24,71451901.53
25,68645662.51
26,31332009.95
27,26922038.55
28,551518366.5
29,22839448.38
30,113535264.04
31,115434797.99
32,131043898.99
33,132871634.12
34,94682800.64
35,163521162.05
36,61602542.56
37,220398426.18
38,42616417.65
39,100961563.36
40,160817037.52
41,98713202.88
42,676665731.28
43,248877650.96
44,136256870.49
45,118536629.75
46,47112908.04
47,38008397.41
48,135408752.85
49,94185203.18
50,80090802.81
51,31027716.74
52,40303309.7
53,74949051.0
54,53988397.63
55,59206107.21
56,93848277.26
57,51600294.84
58,53830678.97
59,293477333.2
60,167315666.22
61,49361268.52
62,192197361.53
63,37289867.4
64,197543618.29
65,336724985.97
66,56875826.66
67,73357412.8
68,127554360.93
69,233279531.54
70,295052827.28
71,30926066.51
72,260464089.17
73,241836740.0
74,16501211.11
75,51554520.21
76,82783555.64
77,53988397.63
78,84063845.51
79,63655084.54
80,170753322.79
